Destination,Property Name,Property Type,Website,Status,Research Date,Notes,Max Guests,Sleeping Capacity,Number of Units,Largest Gathering Space Capacity,Private Buyout Possible (Y/N),Can Reserve 1 Year In Advance,Multi-Generational Friendly (1-5),ADA Accessibility (1-5),Estimated Reunion Cost,Cost Per Family,Cost Score (1-10),Includes Meals (Y/N),Additional Fees,Value Score (1-10),Nearest Airport,Airport Drive Time (min),Direct Flights from NYC (1-5),Direct Flights from ATL/Southeast (1-5),Direct Flights from Midwest (1-5),Direct Flights from West Coast (1-5),Travel Convenience Score (1-10),On-Site Activities Count,Swimming (Y/N),Water Sports (Y/N),Hiking (Y/N),Kids Programs (Y/N),Teen Activities (Y/N),Adult Activities (Y/N),Indoor Backup Activities (Y/N),Activity Score (1-10),Exclusive Gathering Areas (1-5),Group Dining Options (1-5),Reunion Programming Support (1-5),Campfire/Event Spaces (1-5),Privacy Score (1-10),Reunion Suitability Score (1-10),Scenic Quality (1-10),Water Access (1-5),Mountain Access (1-5),Wildlife Viewing (1-5),Nearby National Park (Y/N),Signature Attraction,Beauty Score (1-10),Typical July High,Typical July Low,Humidity Score (1-10),Weather Reliability Score (1-10),Ages 3-8 Score,Ages 9-13 Score,Teen Score,Overall Kid Appeal (1-10),Outdoor Recreation Score,Relaxation Score,Food & Beverage Score,Nearby Town Appeal Score,Adult Appeal Score (1-10),Cell Service,WiFi Quality,Medical Facility Distance,Grocery Distance,Logistics Score (1-10),Overall Weighted Score,Final Rank
Mackinac Island / Northern Michigan,Boyne Mountain Resort,Mountain Resort,,Candidate,2026-05-23,Mackinac/Northern Michigan #1.,,,, ,,,Likely; verify,,,,,,,,,PLN / TVC,60-90,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Mackinac Island / Northern Michigan,Grand Hotel,Historic Hotel,,Candidate,2026-05-23,Mackinac/Northern Michigan #2; island logistics.,,,, ,,,Likely; verify,,,,,,,,,PLN / TVC + ferry,45-120,,,,,,Y,Y,,,,Y,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Mackinac Island / Northern Michigan,Mission Point Resort,Resort,,Candidate,2026-05-23,Mackinac/Northern Michigan #3; island logistics.,,,, ,,,Likely; verify,,,,,,,,,PLN / TVC + ferry,45-120,,,,,,Y,Y,,,,Y,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Mackinac Island / Northern Michigan,Shanty Creek Resort,Mountain Resort,,Candidate,2026-05-23,Mackinac/Northern Michigan #5.,,,, ,,,Likely; verify,,,,,,,,,TVC,60,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Frankenmuth / Michigan,Bavarian Inn Lodge,Family Hotel,,Candidate,2026-05-23,Early Great Lakes shortlist property.,,,360 rooms,,,Likely; verify,,,,,,,,,MBS / DTW,35-95,,,,,,Y,,,,,,Y,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Duluth / North Shore, Minnesota,Grand Superior Lodge,Lake Lodge / Resort,,Candidate,2026-05-23,Duluth/North Shore #1; prior family reunion housed ~120 across rooms/condos/cabins.,,~120,,,,Likely; verify,,,,,,,,,DLH / MSP,45-180,,,,,,,,Y,Y,,Y,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Duluth / North Shore, Minnesota,Superior Shores Resort,Lake Resort,,Candidate,2026-05-23,Duluth/North Shore #2.,,,, ,,,Likely; verify,,,,,,,,,DLH / MSP,45-180,,,,,,Y,Y,Y,,,Y,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Duluth / North Shore, Minnesota,Larsmont Cottages,Cottage Resort,,Candidate,2026-05-23,Duluth/North Shore #3.,,,, ,,,Likely; verify,,,,,,,,,DLH / MSP,35-170,,,,,,Y,Y,Y,,,Y,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Duluth / North Shore, Minnesota,Bluefin Bay,Lake Resort,,Candidate,2026-05-23,Duluth/North Shore #4.,,,, ,,,Likely; verify,,,,,,,,,DLH / MSP,90-210,,,,,,Y,Y,Y,,,Y,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Duluth / North Shore, Minnesota,Cascade Lodge,Lodge / Cabins,,Candidate,2026-05-23,Duluth/North Shore #5.,,,, ,,,Likely; verify,,,,,,,,,DLH / MSP,120-240,,,,,,,,Y,Y,,,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Hocking Hills, Ohio,Hocking Hills Lodge & Conference Center,State Park Lodge,,Candidate,2026-05-23,Hocking Hills #1.,,,,,,Likely; verify,,,,,,,,,CMH,60-75,,,,,,Y,,Y,,,Y,,,,,,,,,,Hocking Hills State Park,,,,,,,,,,,,,,,,,,
Hocking Hills, Ohio,Bourbon Ridge Retreat,Luxury Cabin/Event Retreat,,Candidate,2026-05-23,Hocking Hills #2.,,,,,,Likely; verify,,,,,,,,,CMH,60-75,,,,,,Y,,Y,,,,,,,,,,,,,Hocking Hills State Park,,,,,,,,,,,,,,,,,,
Hocking Hills, Ohio,Hocking Hills Cabins & Resort,Cabin Resort,,Candidate,2026-05-23,Hocking Hills #3.,,,,,,Likely; verify,,,,,,,,,CMH,60-75,,,,,,Y,,Y,,,,,,,,,,,,,Hocking Hills State Park,,,,,,,,,,,,,,,,,,
Hocking Hills, Ohio,Cherry Ridge Retreat,Cabin Retreat,,Candidate,2026-05-23,Hocking Hills #4; likely too small.,,,,,,Likely; verify,,,,,,,,,CMH,60-75,,,,,,,,Y,,,,,,,,,,,,,Hocking Hills State Park,,,,,,,,,,,,,,,,,,
Black Hills, South Dakota,Custer State Park Resort,State Park Resort,,Candidate,2026-05-23,Black Hills #1.,,,,,,Likely; verify,,,,,,,,,RAP,45-60,,,,,,Y,Y,Y,,,Y,,,,,,,,,,Custer State Park / Mount Rushmore,,,,,,,,,,,,,,,,,,
Black Hills, South Dakota,Canyon Lake Resort,Resort,,Candidate,2026-05-23,Black Hills #2.,,,,,,Likely; verify,,,,,,,,,RAP,20,,,,,,Y,Y,,,,Y,,,,,,,,,,,,Black Hills,,,,,,,,,,,,,,,,,,
Black Hills, South Dakota,Mt. Rushmore Resort at Palmer Gulch,Resort/Campground,,Candidate,2026-05-23,Black Hills #3.,,,,,,Likely; verify,,,,,,,,,RAP,45,,,,,,,,Y,Y,,Y,,,,,,,,,,,,Mount Rushmore,,,,,,,,,,,,,,,,,,
Black Hills, South Dakota,Elk Creek Resort,Resort/Cabins,,Candidate,2026-05-23,Black Hills #4.,,,,,,Likely; verify,,,,,,,,,RAP,45-60,,,,,,Y,,Y,,,,,,,,,,,,,Black Hills,,,,,,,,,,,,,,,,,,
Black Hills, South Dakota,Mickelson Trail Lodging,Lodging Strategy,,Candidate,2026-05-23,Black Hills #5.,,,,,,Varies; verify,,,,,,,,,RAP,45-75,,,,,,,,Y,,,,,,,,,,,,,Mickelson Trail,,,,,,,,,,,,,,,,,,
Smoky Mountains, Tennessee,Gatlinburg Lodge / Giant Reunion Lodge Concept,Large Lodge / Rental,,Candidate,2026-05-23,Smoky Mountains #1.,,,,,,Likely; verify,,,,,,,,,TYS,60-75,,,,,,,,Y,,,,,,,,,,,,Y,Great Smoky Mountains National Park,,,,,,,,,,,,,,,,,,
Smoky Mountains, Tennessee,Dollywood's DreamMore Resort,Resort,,Candidate,2026-05-23,Smoky Mountains #2.,,,,,,Likely; verify,,,,,,,,,TYS,45,,,,,,Y,,,Y,,Y,,,,,,,,,,Dollywood / Great Smoky Mountains,,,,,,,,,,,,,,,,,,
Smoky Mountains, Tennessee,Hearthside / Large Cabin Clusters,Cabin Cluster Strategy,,Candidate,2026-05-23,Smoky Mountains #3.,,,,,,Varies; verify,,,,,,,,,TYS,45-75,,,,,,,,Y,,,,,,,,,,,,Y,Great Smoky Mountains National Park,,,,,,,,,,,,,,,,,,
Smoky Mountains, Tennessee,Smith Creek Resort,Resort / Cabins,,Candidate,2026-05-23,Smoky Mountains #4.,,,,,,Likely; verify,,,,,,,,,TYS,45-60,,,,,,Y,,Y,Y,,Y,,,,,,,,,Y,Great Smoky Mountains National Park,,,,,,,,,,,,,,,,,,
Smoky Mountains, Tennessee,Wilderness at the Smokies,Waterpark Resort,,Candidate,2026-05-23,Smoky Mountains #5.,,,,,,Likely; verify,,,,,,,,,TYS,45,,,,,,Y,,Y,Y,,Y,,,,,,,,,Y,Great Smoky Mountains National Park,,,,,,,,,,,,,,,,,,
Sunriver / Bend, Oregon,Sunriver Resort,Resort,,Finalist Candidate,2026-05-23,Sunriver/Bend top property; upper-tier western candidate.,,,,,,Likely; verify,,,,,,,,,RDM / PDX,35-180,,,,,,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,,Central Oregon / Deschutes River,,,,,,,,,,,,,,,,,,
Sunriver / Bend, Oregon,Caldera Springs,Vacation Community,,Candidate,2026-05-23,Sunriver/Bend high-end vacation community option.,,,,,,,,,,,,,,,,RDM / PDX,35-180,,,,,,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,,Central Oregon / Deschutes River,,,,,,,,,,,,,,,,,,
Sunriver / Bend, Oregon,Brasada Ranch,Ranch Resort,,Candidate,2026-05-23,Bend-area ranch/resort option.,,,,,,Likely; verify,,,,,,,,,RDM,25,,,,,,Y,,Y,Y,,Y,,,,,,,,,,,,Central Oregon / Deschutes River,,,,,,,,,,,,,,,,,,
Sunriver / Bend, Oregon,Pronghorn Resort,Golf Resort,,Candidate,2026-05-23,Bend-area resort option.,,,,,,Likely; verify,,,,,,,,,RDM,20,,,,,,Y,,Y,,,,Y,,,,,,,,,,,,Central Oregon / Deschutes River,,,,,,,,,,,,,,,,,,
Sunriver / Bend, Oregon,Tetherow Resort,Resort,,Candidate,2026-05-23,Bend resort option.,,,,,,Likely; verify,,,,,,,,,RDM,30,,,,,,Y,,Y,,,,Y,,,,,,,,,,,,Central Oregon / Deschutes River,,,,,,,,,,,,,,,,,,
Coeur d'Alene, Idaho,Camp Lutherhaven,Camp / Retreat Center,,Candidate,2026-05-23,Coeur d'Alene #1.,,,, ,,,Likely; verify,,,,,,,,,GEG,45,,,,,,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,,Lake Coeur d'Alene,,,,,,,,,,,,,,,,,,
Coeur d'Alene, Idaho,The Coeur d'Alene Resort,Lake Resort,,Finalist Candidate,2026-05-23,Coeur d'Alene #2; resort has 338 rooms in prior objective notes.,,,338 rooms,,,Likely; verify,,,,,,,,,GEG,40-45,,,,,,Y,Y,,Y,,Y,Y,,,,,,,,,,,,Lake Coeur d'Alene,,,,,,,,,,,,,,,,,,
Coeur d'Alene, Idaho,Twinlow Retreat Center,Camp / Retreat Center,,Candidate,2026-05-23,Coeur d'Alene #3.,,,, ,,,Likely; verify,,,,,,,,,GEG,45,,,,,,Y,Y,Y,,,Y,Y,,,,,,,,,,,,Lake Coeur d'Alene,,,,,,,,,,,,,,,,,,
Coeur d'Alene, Idaho,One Lakeside,Condo Hotel,,Candidate,2026-05-23,Coeur d'Alene #4.,,,, ,,,Likely; verify,,,,,,,,,GEG,40-45,,,,,,Y,Y,,,,Y,,,,,,,,,,,,Lake Coeur d'Alene,,,,,,,,,,,,,,,,,,
Coeur d'Alene, Idaho,Coeur d'Alene Casino Resort,Casino Resort,,Candidate,2026-05-23,Coeur d'Alene #5; 300 guest rooms in prior objective notes.,,,300 guest rooms,,,Likely; verify,,,,,,,,,GEG,50,,,,,,Y,,,Y,,Y,,,,,,,,,,,,Lake Coeur d'Alene,,,,,,,,,,,,,,,,,,
Whitefish / Flathead Lake / Glacier, Montana,Flathead Lake Lodge,Guest Ranch,,Finalist,2026-05-23,"Whitefish/Glacier #1; nearly 2,000 acres in prior notes.",,,,,,,,,,,,,,,,FCA,30-45,,,,,,Y,Y,Y,Y,,Y,Y,,,,,,,,,Y,Flathead Lake / Glacier National Park,,,,,,,,,,,,,,,,,,
Whitefish / Flathead Lake / Glacier, Montana,The Lodge at Whitefish Lake,Lake Lodge / Resort,,Finalist Candidate,2026-05-23,"Whitefish/Glacier #2; over 8,000 sq ft indoor event space plus pavilion; ~125 accommodations.",,,~125 accommodations,>8,000 sq ft indoor event space,,Likely; verify,,,,,,,,,FCA,15-25,,,,,,Y,Y,Y,Y,,Y,Y,,,,,,,,,Y,Whitefish Lake / Glacier National Park,,,,,,,,,,,,,,,,,,
Whitefish / Flathead Lake / Glacier, Montana,North Forty Resort,Cabin Resort,,Candidate,2026-05-23,Whitefish/Glacier #3.,,,,,,Likely; verify,,,,,,,,,FCA,15,,,,,,Y,,Y,,,,,,,,,,,,Y,Glacier National Park,,,,,,,,,,,,,,,,,,
Whitefish / Flathead Lake / Glacier, Montana,Haymoon Resort,Cabin Resort,,Candidate,2026-05-23,Whitefish/Glacier #4; likely too small.,,,,,,Likely; verify,,,,,,,,,FCA,20,,,,,,Y,,Y,,,,,,,,,,,,Y,Glacier National Park,,,,,,,,,,,,,,,,,,
Lake Tahoe, California/Nevada,Zephyr Point Conference Center,Conference Center,,Finalist Candidate,2026-05-23,Lake Tahoe #1 finalist-pool property.,,,,,,Likely; verify,,,,,,,,,RNO,55-75,,,,,,Y,Y,Y,,,Y,,,,,,,,,,,,Lake Tahoe,,,,,,,,,,,,,,,,,,
Lake Tahoe, California/Nevada,Granlibakken Tahoe,Resort / Conference Center,,Finalist Candidate,2026-05-23,Lake Tahoe #2 finalist-pool property.,,,~190 rooms/cabins/units,,,Likely; verify,,,,,,,,,RNO / SMF,60-120,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Lake Tahoe,,,,,,,,,,,,,,,,,,
Lake Tahoe, California/Nevada,Stanford Sierra Conference Center,Conference Center,,Candidate,2026-05-23,Lake Tahoe #3 finalist-pool property.,,,,,,Likely; verify,,,,,,,,,RNO,60,,,,,,Y,Y,Y,,,Y,,,,,,,,,,,,Lake Tahoe,,,,,,,,,,,,,,,,,,
Lake Tahoe, California/Nevada,Zephyr Cove Resort,Lake Resort / Cabins,,Candidate,2026-05-23,Lake Tahoe #4 finalist-pool property.,,,28 cabins + lodge rooms,,,Likely; verify,,,,,,,,,RNO,60,,,,,,Y,Y,Y,,,,,,,,,,,,,,Lake Tahoe,,,,,,,,,,,,,,,,,,
Lake Tahoe, California/Nevada,Lake Tahoe Large Vacation Home Compound Strategy,Rental Cluster Strategy,,Candidate,2026-05-23,Lake Tahoe #5 strategy.,,,,,,Varies; verify,,,,,,,,,RNO / SMF,60-120,,,,,,,,Y,Y,,,,,,,,,,,,,,Lake Tahoe,,,,,,,,,,,,,,,,,,
Jackson Hole / Grand Teton, Wyoming,Teton Springs Lodge & Spa,Resort Lodge,,Candidate,2026-05-23,Jackson Hole property considered.,,,, ,,,Likely; verify,,,,,,,,,JAC,45,,,,,,Y,,Y,,,Y,,,,,,,,,Y,Grand Teton National Park,,,,,,,,,,,,,,,,,,
Jackson Hole / Grand Teton, Wyoming,Moose Creek Ranch,Ranch / Cabins,,Candidate,2026-05-23,Jackson Hole property considered.,,,, ,,,,,,,,,,,,JAC,45,,,,,,Y,,Y,,,,,,,,,,,,Y,Grand Teton National Park,,,,,,,,,,,,,,,,,,
Jackson Hole / Grand Teton, Wyoming,Red Rock Ranch,Guest Ranch,,Candidate,2026-05-23,Jackson Hole property considered.,,,, ,,,,,,,,,,,,JAC,45-60,,,,,,Y,,Y,,,,,,,,,,,,Y,Grand Teton National Park,,,,,,,,,,,,,,,,,,
Jackson Hole / Grand Teton, Wyoming,Jackson Lake Lodge,National Park Lodge,,Candidate,2026-05-23,Jackson Hole property considered; inside Grand Teton NP.,,,, ,,,Likely; verify,,,,,,,,,JAC,35,,,,,,Y,Y,Y,,,Y,,,,,,,,,Y,Grand Teton National Park,,,,,,,,,,,,,,,,,,
Jackson Hole / Grand Teton, Wyoming,Fireside Resort,Cabin Resort,,Candidate,2026-05-23,Jackson Hole property considered.,,,,,,Likely; verify,,,,,,,,,JAC,20,,,,,,,,Y,,,,,,,,,,,,Y,Grand Teton National Park,,,,,,,,,,,,,,,,,,
Missoula / Bitterroot Valley, Montana,The Ranch at Rock Creek,Luxury Guest Ranch,,Candidate,2026-05-23,Missoula/Bitterroot #1.,,,, ,,,,,,,,,,,,MSO / BTM,90,,,,,,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,,Bitterroot Valley / Ranch Country,,,,,,,,,,,,,,,,,,
Missoula / Bitterroot Valley, Montana,Resort at Paws Up,Luxury Ranch Resort,,Candidate,2026-05-23,Missoula/Bitterroot #2.,,,,,,Likely; verify,,,,,,,,,MSO,45,,,,,,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,,Blackfoot River / Montana ranch country,,,,,,,,,,,,,,,,,,
Missoula / Bitterroot Valley, Montana,Rich Ranch,Guest Ranch,,Candidate,2026-05-23,Missoula/Bitterroot #3.,,,, ,,,,,,,,,,,,MSO,90,,,,,,Y,Y,Y,,,Y,,,,,,,,,,,,Bitterroot Valley,,,,,,,,,,,,,,,,,,
Missoula / Bitterroot Valley, Montana,Fairmont Hot Springs Resort,Hot Springs Resort,,Candidate,2026-05-23,Missoula/Bitterroot #4.,,,,,,Likely; verify,,,,,,,,,BTM / MSO,20-100,,,,,,Y,,Y,Y,,Y,,,,,,,,,,,,Hot springs / Montana mountains,,,,,,,,,,,,,,,,,,
Missoula / Bitterroot Valley, Montana,Bitterroot Valley Cabin Compound,Rental Cluster Strategy,,Candidate,2026-05-23,Missoula/Bitterroot #5.,,,,,,Varies; verify,,,,,,,,,MSO,45-90,,,,,,,,Y,,,,,,,,,,,,,Bitterroot Valley,,,,,,,,,,,,,,,,,,
Big Sky, Montana,Big Sky Resort,Mountain Resort,,Finalist Candidate,2026-05-23,Big Sky #1 candidate set; upper tier.,,,,,,Likely; verify,,,,,,,,,BZN,60-75,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,Y,Big Sky / Yellowstone gateway,,,,,,,,,,,,,,,,,,
Big Sky, Montana,Huntley Lodge,Mountain Lodge,,Candidate,2026-05-23,Big Sky candidate.,,,,,,Likely; verify,,,,,,,,,BZN,60-75,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Big Sky Resort,,,,,,,,,,,,,,,,,,
Big Sky / Bozeman, Montana,Lone Mountain Ranch,Guest Ranch,,Candidate,2026-05-23,Big Sky/Bozeman candidate; also Bozeman list.,,,,,,,,,,,,,,,,BZN,60-75,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,Y,Lone Mountain / Yellowstone gateway,,,,,,,,,,,,,,,,,,
Big Sky, Montana,The Wilson Hotel,Hotel,,Candidate,2026-05-23,Big Sky candidate; less campus-like.,,,129 rooms,,,Likely; verify,,,,,,,,,BZN,60-75,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Big Sky,,,,,,,,,,,,,,,,,,
Big Sky, Montana,Moonlight Basin Home Cluster,Rental Cluster Strategy,,Candidate,2026-05-23,Big Sky candidate strategy.,,,,,,Varies; verify,,,,,,,,,BZN,60-75,,,,,,,,Y,,,,,,,,,,,,,Moonlight Basin,,,,,,,,,,,,,,,,,,
Park City, Utah,Grand Summit Hotel,Mountain Resort Hotel,,Finalist Candidate,2026-05-24,Park City #1.,,,,,,Likely; verify,,,,,,,,,SLC,35-45,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,Park City / Wasatch Mountains,,,,,,,,,,,,,,,,,,
Park City, Utah,Westgate Park City Resort & Spa,Condo Resort,,Candidate,2026-05-24,Park City #2.,,,,,,Likely; verify,,,,,,,,,SLC,35-45,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,Park City / Wasatch Mountains,,,,,,,,,,,,,,,,,,
Park City, Utah,Weedon Ranch,Ranch / Event Property,,Candidate,2026-05-24,Park City #3.,,,,,,,,,,,,,,,,SLC,45,,,,,,,,Y,,,,,,,,,,,,,Wasatch Mountains,,,,,,,,,,,,,,,,,,
Park City, Utah,Silver Springs Lodge,Large Lodge / Vacation Rental,,Candidate,2026-05-24,Park City #4.,,,,,,Likely; verify,,,,,,,,,SLC,40,,,,,,,,Y,,,,,,,,,,,,,Park City,,,,,,,,,,,,,,,,,,
Steamboat Springs, Colorado,Steamboat Grand,Mountain Resort,,Candidate,2026-05-23,Steamboat property detail not fully recovered; included as likely resort anchor.,,,,,,Likely; verify,,,,,,,,,HDN / DEN,35-180,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,Steamboat Springs,,,,,,,,,,,,,,,,,,
Estes Park / Rocky Mountain National Park, Colorado,YMCA of the Rockies - Estes Park Center,YMCA Conference Center,,Candidate,2026-05-23,Estes Park #1 in prior recovered ranking.,,,,,,Likely; verify,,,,,,,,,DEN,90-120,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,Y,Rocky Mountain National Park,,,,,,,,,,,,,,,,,,
Estes Park / Rocky Mountain National Park, Colorado,The Stanley Hotel,Historic Hotel,,Candidate,2026-05-23,Estes Park candidate.,,,,,,Likely; verify,,,,,,,,,DEN,90-120,,,,,,,,Y,,,Y,,,,,,,,,Y,Rocky Mountain National Park,,,,,,,,,,,,,,,,,,
Estes Park / Rocky Mountain National Park, Colorado,Holiday Inn Estes Park,Hotel,,Candidate,2026-05-23,Estes Park candidate.,,,,,,Likely; verify,,,,,,,,,DEN,90-120,,,,,,Y,,Y,,,Y,,,,,,,,,Y,Rocky Mountain National Park,,,,,,,,,,,,,,,,,,
Estes Park / Rocky Mountain National Park, Colorado,The Ridgeline Hotel Estes Park,Hotel,,Candidate,2026-05-23,Estes Park candidate.,,,,,,Likely; verify,,,,,,,,,DEN,90-120,,,,,,Y,,Y,,,Y,,,,,,,,,Y,Rocky Mountain National Park,,,,,,,,,,,,,,,,,,
Estes Park / Rocky Mountain National Park, Colorado,Estes Park Private Cabin Village Buyout,Rental Cluster Strategy,,Candidate,2026-05-23,Estes Park cabin-village strategy.,,,,,,Varies; verify,,,,,,,,,DEN,90-120,,,,,,,,Y,,,,,,,,,,,,Y,Rocky Mountain National Park,,,,,,,,,,,,,,,,,,
Colorado Springs / Garden of the Gods, Colorado,The Broadmoor,Luxury Resort,,Finalist Candidate,2026-05-23,Colorado Springs top-tier / revisit confirmed strong.,,,784 rooms,185,000 sq ft event space,,Likely; verify,,,,,,,,,COS / DEN,20-75,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,Garden of the Gods / Pikes Peak,,,,,,,,,,,,,,,,,,
Colorado Springs / Garden of the Gods, Colorado,Cheyenne Mountain Resort,Resort,,Candidate,2026-05-23,Colorado Springs candidate.,,,,,,Likely; verify,,,,,,,,,COS / DEN,20-75,,,,,,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,,Garden of the Gods / Pikes Peak,,,,,,,,,,,,,,,,,,
Colorado Springs / Garden of the Gods, Colorado,Garden of the Gods Resort and Club,Resort,,Candidate,2026-05-23,Colorado Springs candidate.,,,,,,Likely; verify,,,,,,,,,COS / DEN,25-80,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Garden of the Gods,,,,,,,,,,,,,,,,,,
Breckenridge / Frisco / Dillon, Colorado,Beaver Run Resort & Conference Center,Condo Resort / Conference Center,,Finalist Candidate,2026-05-24,Breckenridge #1; largest conference/event space in Breckenridge; hundreds of rooms/condos.,,,hundreds of rooms/condos,,,Likely; verify,,,,,,,,,DEN,120,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,Breckenridge / Summit County,,,,,,,,,,,,,,,,,,
Breckenridge / Frisco / Dillon, Colorado,Grand Lodge on Peak 7,Condo Resort,,Candidate,2026-05-24,Breckenridge luxury family option.,,,,,,Likely; verify,,,,,,,,,DEN,120,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,Breckenridge / Summit County,,,,,,,,,,,,,,,,,,
Breckenridge / Frisco / Dillon, Colorado,Grand Colorado on Peak 8,Condo Resort,,Candidate,2026-05-24,Breckenridge luxury family option.,,,,,,Likely; verify,,,,,,,,,DEN,120,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,Breckenridge / Summit County,,,,,,,,,,,,,,,,,,
Breckenridge / Frisco / Dillon, Colorado,High Country Lodge,Large Lodge / Vacation Rental,,Candidate,2026-05-24,Sleeps ~24 with event space around 40.,,~24,,~40,,Likely; verify,,,,,,,,,DEN,120,,,,,,,,Y,,,,,,,,,,,,,Breckenridge / Summit County,,,,,,,,,,,,,,,,,,
Santa Fe / Taos, New Mexico,Bishop's Lodge,Luxury Resort,,Candidate,2026-05-23,Santa Fe/Taos candidate.,,,,,,Likely; verify,,,,,,,,,SAF / ABQ,20-75,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Santa Fe / Sangre de Cristo Mountains,,,,,,,,,,,,,,,,,,
Santa Fe / Taos, New Mexico,Ghost Ranch,Retreat Center,,Finalist Candidate,2026-05-23,Santa Fe/Taos high-ranking candidate.,,,,,,Likely; verify,,,,,,,,,SAF / ABQ,65-120,,,,,,,,Y,,,Y,,,,,,,,,,,,Ghost Ranch / Abiquiu,,,,,,,,,,,,,,,,,,
Santa Fe / Taos, New Mexico,The Blake at Taos Ski Valley,Mountain Hotel,,Candidate,2026-05-23,Santa Fe/Taos candidate.,,,,,,Likely; verify,,,,,,,,,SAF / ABQ,120-170,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Taos Ski Valley,,,,,,,,,,,,,,,,,,
Santa Fe / Taos, New Mexico,Taos Large Vacation Rental Cluster,Rental Cluster Strategy,,Candidate,2026-05-23,Taos cluster strategy.,,,,,,Varies; verify,,,,,,,,,SAF / ABQ,120-170,,,,,,,,Y,,,,,,,,,,,,,Taos,,,,,,,,,,,,,,,,,,
Santa Fe / Taos, New Mexico,Bishop's Ridge Retreat Center,Retreat Center,,Candidate,2026-05-23,Santa Fe/Taos candidate.,,,,,,Likely; verify,,,,,,,,,SAF / ABQ,30-75,,,,,,,,Y,,,Y,,,,,,,,,,,,Santa Fe foothills,,,,,,,,,,,,,,,,,,
Telluride, Colorado,Mountain Lodge Telluride,Mountain Lodge / Condo Resort,,Candidate,2026-05-24,Telluride candidate.,,,,,,Likely; verify,,,,,,,,,TEX / MTJ,10-90,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,Telluride / San Juan Mountains,,,,,,,,,,,,,,,,,,
Telluride, Colorado,Madeline Hotel & Residences,Luxury Mountain Hotel,,Candidate,2026-05-24,Telluride candidate.,,,,,,Likely; verify,,,,,,,,,TEX / MTJ,10-90,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,Telluride / San Juan Mountains,,,,,,,,,,,,,,,,,,
Telluride, Colorado,Lumière with Inspirato,Luxury Residence Hotel,,Candidate,2026-05-24,Telluride candidate.,,,,,,Likely; verify,,,,,,,,,TEX / MTJ,10-90,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Telluride / San Juan Mountains,,,,,,,,,,,,,,,,,,
Telluride, Colorado,Mountain Village Vacation Home Cluster,Rental Cluster Strategy,,Candidate,2026-05-24,Telluride large-home strategy.,,,,,,Varies; verify,,,,,,,,,TEX / MTJ,10-90,,,,,,,,Y,,,,,,,,,,,,,Telluride / San Juan Mountains,,,,,,,,,,,,,,,,,,
Durango / Purgatory, Colorado,Purgatory Resort Village,Mountain Resort Village,,Finalist Candidate,2026-05-24,Durango #1; strong finalist.,,,,,,Likely; verify,,,,,,,,,DRO,45-60,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,Purgatory / San Juan Mountains,,,,,,,,,,,,,,,,,,
